VCC
N,N000021,00,2014-02-10,00002,00,0.00,44.55,0.00,44.55,0.00,0.00,0.00,11:24:12,,A,0.00,0.00,0.00,0.00,0.00,0.00,44.55,10.00,1.40
N,N000022,00,2014-02-10,00002,00,0.00,66.83,0.00,66.83,0.00,0.00,0.00,11:46:17,,A,0.00,0.00,0.00,0.00,0.00,0.00,66.825,10.00,1.40
,000000,00,2014-02-10,00010,00,0.00,22.27,0.00,22.27,2.23,0.31,24.81,12:38:09,,A,0.00,0.00,0.00,0.00,0.00,0.00,24.8144,10.00,1.40
N,N000023,00,2014-02-10,00002,00,0.00,46.00,0.00,46.00,0.00,0.00,46.00,12:38:40,,A,0.00,0.00,0.00,0.00,0.00,0.00,46,10.00,1.40
A,A000001,00,2014-02-11,01103,00,0.00,2.79,0.00,2.79,0.28,0.04,3.11,13:27:15,,A,0.00,0.00,0.00,0.00,0.00,0.00,3.10806,10.00,1.40
VLL
N,00011,00000000,000000000000001,"HELADOS   PARA   PERROS              ",0.000,7.50,0.00,0.00,3.00,0.000,00000000,25.07,0.00,0.00,0.00,0.00,1
N,00011,00000001,000000000000003,"VET   AQUADENT   DE  250  C.C.       ",0.000,14.00,0.00,0.00,2.00,0.000,00000000,31.19,0.00,0.00,0.00,0.00,2
N,00012,00000000,000000000000006,"COLLAR  NYLON  ECONOMICO  20+25 MM.  ",0.000,2.00,0.00,0.00,2.00,0.000,00000000,4.46,0.00,0.00,0.00,0.00,1
N,00012,00000001,000000000000031,"ESTERILLA   ENROLLABLE   85   CM.    ",0.000,24.00,0.00,0.00,3.00,0.000,00000000,80.21,0.00,0.00,0.00,0.00,1
N,00012,00000002,000000000000028,PA,0.000,4.00,0.00,0.00,1.00,0.000,00000000,4.46,0.00,0.00,0.00,0.00,1
N,00013,00000000,000000000000003,"VET   AQUADENT   DE  250  C.C.       ",0.000,12.00,0.00,0.00,1.00,0.000,00000000,13.37,0.00,0.00,0.00,0.00,2
N,00013,00000001,000000000000008,"RODILLO   QUITAPELOS                 ",0.000,4.00,0.00,0.00,2.00,4.000,00000000,579.28,0.00,0.00,0.00,0.00,1
N,00013,00000002,000000000000011,"PALETA  PARA  PIENSO  1.5  KILOS     ",0.000,8.00,0.00,0.00,4.00,0.000,00000000,35.65,0.00,0.00,0.00,0.00,1
N,00014,00000000,000000000000001,"HELADOS   PARA   PERROS              ",0.000,7.50,0.00,10.00,3.00,0.000,00655554,20.25,0.00,0.00,0.00,0.00,1
N,00015,00000000,000000000000001,"HELADOS   PARA   PERROS              ",0.000,7.50,0.00,10.00,3.00,0.000,00655554,20.25,0.00,0.00,0.00,0.00,1
A,00000,00000000,000000000000001,"HELADOS   PARA   PERROS              ",0.000,7.50,0.00,0.00,1.00,0.000,00655554,7.50,0.00,0.00,0.00,0.00,1
N,00016,00000000,000000000000003,"VET   AQUADENT   DE  250  C.C.       ",0.000,14.00,0.00,0.00,6.00,0.000,00000000,84.00,0.00,0.00,0.00,0.00,2
N,00016,00000001,000000000000001,"HELADOS   PARA   PERROS              ",0.000,7.50,0.00,0.00,0.00,3.000,00655554,225.00,0.00,0.00,0.00,0.00,1
N,N000000,00000000,000000000000001,"HELADOS   PARA   PERROS              ",0.000,7.50,0.00,0.00,1.00,0.000,00655554,7.50,0.00,0.00,0.00,0.00,1
N,N000019,00000000,000000000000004,"CEPILLO  PARA  DIENTES  2  UNIDADES  ",0.000,4.00,0.00,0.00,3.00,0.000,00000000,12.00,0.00,0.00,0.00,0.00,1
N,N000020,00000000,000000000000003,"VET   AQUADENT   DE  250  C.C.       ",0.000,14.00,0.00,0.00,3.00,0.000,00000000,42.00,0.00,0.00,0.00,0.00,2
N,N000021,00000000,000000000000002,"MINITRAMPA   PARA   MOSCAS           ",0.000,22.50,1.00,0.00,2.00,0.000,00000000,44.55,1.00,0.00,0.00,0.00,1
N,N000022,00000000,000000000000002,"MINITRAMPA   PARA   MOSCAS           ",0.000,22.50,1.00,0.00,3.00,0.000,00000000,66.82,1.00,0.00,0.00,0.00,1
,000000,00000000,000000000000002,"MINITRAMPA   PARA   MOSCAS           ",0.000,22.50,1.00,0.00,1.00,0.000,00000000,22.27,1.00,0.00,0.00,0.00,1
N,N000023,00000000,000000000000006,"COLLAR  NYLON  ECONOMICO  20+25 MM.  ",0.000,2.00,0.00,0.00,23.00,0.000,00000000,46.00,0.00,0.00,0.00,0.00,1
A,A000001,00000000,000000000000002,"DEVOLUCIONES                         ",0.000,0.93,0.00,0.00,3.00,0.000,00000000,2.79,0.00,0.00,0.00,0.00,1
COB
2014-02-10,11:26:07,N000021,0001,00002,00,02,22.00
2014-02-10,11:26:11,N000021,0002,00002,00,02,3.00
2014-02-10,11:26:15,N000021,0003,00002,00,02,19.55
2014-02-10,12:09:26,N000022,0001,00002,00,02,66.83
2014-02-10,12:38:09,000000,0001,00010,00,02,24.81
2014-02-10,12:38:40,N000023,0001,00002,00,02,46.00
2014-02-11,13:27:15,A000001,0001,01103,00,01,3.11
PEN
CLI
